"","From","Entry","Gene.Names","Protein.names","Protein.existence","Annotation","Gene.Ontology..GO.","Gene.Ontology.IDs","Gene.encoded.by"
"354","M3W0W8","M3W0W8","CHMP2A","Charged multivesicular body protein 2a (Chromatin-modifying protein 2a)","Inferred from homology","5","amphisome membrane [GO:1904930]; chromatin [GO:0000785]; cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; lysosomal membrane [GO:0005765]; membrane coat [GO:0030117]; midbody [GO:0030496]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; nuclear pore [GO:0005643]; plasma membrane [GO:0005886]; phosphatidylcholine binding [GO:0031210]; protein domain specific binding [GO:0019904]; autophagosome maturation [GO:0097352]; endosome transport via multivesicular body sorting pathway [GO:0032509]; exit from mitosis [GO:0010458]; late endosome to lysosome transport [GO:1902774]; late endosome to vacuole transport [GO:0045324]; membrane invagination [GO:0010324]; midbody abscission [GO:0061952]; mitotic metaphase chromosome alignment [GO:0007080]; negative regulation of centriole elongation [GO:1903723]; nuclear membrane reassembly [GO:0031468]; plasma membrane repair [GO:0001778]; positive regulation of exosomal secretion [GO:1903543]; protein homooligomerization [GO:0051260]; protein polymerization [GO:0051258]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; viral budding from plasma membrane [GO:0046761]; viral budding via host ESCRT complex [GO:0039702]","GO:0000776; GO:0000785; GO:0000815; GO:0001778; GO:0005643; GO:0005765; GO:0005771; GO:0005828; GO:0005829; GO:0005886; GO:0007080; GO:0010324; GO:0010458; GO:0010824; GO:0015031; GO:0019904; GO:0030117; GO:0030496; GO:0031210; GO:0031468; GO:0032509; GO:0032585; GO:0039702; GO:0043162; GO:0045324; GO:0046761; GO:0051258; GO:0051260; GO:0061952; GO:0097352; GO:1901673; GO:1902774; GO:1903543; GO:1903723; GO:1904930",NA
"355","A0A337S8C4","A0A337S8C4","CHMP2B","Charged multivesicular body protein 2B","Inferred from homology","1","late endosome membrane [GO:0031902]; vacuolar transport [GO:0007034]","GO:0007034; GO:0031902",NA
"356","A0A5F5Y7M8","A0A5F5Y7M8","CHMP3","Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24)","Inferred from homology","2","late endosome membrane [GO:0031902]; vacuolar transport [GO:0007034]","GO:0007034; GO:0031902",NA
"357","M3WXJ4","M3WXJ4","CHMP4B","Charged multivesicular body protein 4B","Inferred from homology","5","amphisome membrane [GO:1904930]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; lysosomal membrane [GO:0005765]; membrane coat [GO:0030117]; midbody [GO:0030496]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; nuclear pore [GO:0005643]; protein homodimerization activity [GO:0042803]; autophagosome maturation [GO:0097352]; exit from mitosis [GO:0010458]; late endosome to lysosome transport [GO:1902774]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; maintenance of lens transparency [GO:0036438]; membrane fission [GO:0090148]; midbody abscission [GO:0061952]; mitotic metaphase chromosome alignment [GO:0007080]; nervous system process [GO:0050877]; nuclear membrane reassembly [GO:0031468]; plasma membrane repair [GO:0001778]; post-translational protein targeting to endoplasmic reticulum membrane [GO:0006620]; protein polymerization [GO:0051258]; regulation of autophagy [GO:0010506]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway [GO:0090611]; vesicle budding from membrane [GO:0006900]; viral budding from plasma membrane [GO:0046761]; viral budding via host ESCRT complex [GO:0039702]","GO:0000776; GO:0000815; GO:0001778; GO:0005643; GO:0005765; GO:0005771; GO:0005828; GO:0005829; GO:0006620; GO:0006900; GO:0007080; GO:0009898; GO:0010458; GO:0010506; GO:0010824; GO:0030117; GO:0030496; GO:0031468; GO:0032511; GO:0032585; GO:0036438; GO:0039702; GO:0042803; GO:0043162; GO:0046761; GO:0050877; GO:0051258; GO:0061952; GO:0090148; GO:0090611; GO:0097352; GO:1901673; GO:1902774; GO:1904930",NA
"358","M3X6F1","M3X6F1","CHMP5","Charged multivesicular body protein 5 (Chromatin-modifying protein 5)","Inferred from homology","2","vacuolar transport [GO:0007034]","GO:0007034",NA
"359","A0A337SL92","A0A337SL92","CHMP5","Charged multivesicular body protein 5 (Chromatin-modifying protein 5)","Inferred from homology","2","multivesicular body [GO:0005771]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; vesicle budding from membrane [GO:0006900]","GO:0005771; GO:0006900; GO:0032511",NA
"360","A0A337SGE0","A0A337SGE0","CHODL","Chondrolectin","Predicted","2","centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; positive regulation of axonogenesis [GO:0050772]","GO:0005737; GO:0005813; GO:0005829; GO:0016020; GO:0048471; GO:0050772",NA
"361","M3WI48","M3WI48","CHST3","Sulfotransferase (EC 2.8.2.-)","Inferred from homology","3","Golgi membrane [GO:0000139]; trans-Golgi network [GO:0005802]; chondroitin 6-sulfotransferase activity [GO:0008459]; N-acetylglucosamine 6-O-sulfotransferase activity [GO:0001517]; proteoglycan sulfotransferase activity [GO:0050698]; carbohydrate metabolic process [GO:0005975]; chondroitin sulfate biosynthetic process [GO:0030206]; N-acetylglucosamine metabolic process [GO:0006044]; T cell homeostasis [GO:0043029]","GO:0000139; GO:0001517; GO:0005802; GO:0005975; GO:0006044; GO:0008459; GO:0030206; GO:0043029; GO:0050698",NA
"362","M3WF53","M3WF53","CILP","Cartilage intermediate layer protein","Predicted","2","collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; carbohydrate binding [GO:0030246]; negative regulation of gene expression [GO:0010629]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]","GO:0005615; GO:0010629; GO:0030246; GO:0030512; GO:0043569; GO:0060392; GO:0062023",NA
"363","M3WKI3","M3WKI3","CILP2","Cartilage intermediate layer protein 2","Predicted","1","extracellular space [GO:0005615]","GO:0005615",NA
"364","A0A2I2UED7","A0A2I2UED7","CLASP1","Cytoplasmic linker associated protein 1","Predicted","2","centrosome [GO:0005813]; Golgi apparatus [GO:0005794]; kinetochore [GO:0000776]; microtubule binding [GO:0008017]; negative regulation of cytoskeleton organization [GO:0051494]; negative regulation of supramolecular fiber organization [GO:1902904]; regulation of microtubule polymerization or depolymerization [GO:0031110]","GO:0000776; GO:0005794; GO:0005813; GO:0008017; GO:0031110; GO:0051494; GO:1902904",NA
"365","A0A2I2U6F0","A0A2I2U6F0","CLEC11A","C-type lectin domain containing 11A","Predicted","1","extracellular space [GO:0005615]; carbohydrate binding [GO:0030246]; growth factor activity [GO:0008083]; ossification [GO:0001503]; positive regulation of cell population proliferation [GO:0008284]","GO:0001503; GO:0005615; GO:0008083; GO:0008284; GO:0030246",NA
"366","M3VWY2","M3VWY2","CLEC4G","C-type lectin domain family 4 member G","Predicted","3","external side of plasma membrane [GO:0009897]; carbohydrate binding [GO:0030246]; carbohydrate derivative binding [GO:0097367]; fructose binding [GO:0070061]; mannose binding [GO:0005537]; polysaccharide binding [GO:0030247]; virus coreceptor activity [GO:0120274]; virus receptor activity [GO:0001618]; alpha-beta T cell proliferation [GO:0046633]; immature T cell proliferation in thymus [GO:0033080]; immune response [GO:0006955]; negative regulation of alpha-beta T cell proliferation [GO:0046642]; negative regulation of immature T cell proliferation in thymus [GO:0033088]; negative regulation of T cell mediated immunity [GO:0002710]; positive regulation of viral life cycle [GO:1903902]; T cell mediated immunity [GO:0002456]","GO:0001618; GO:0002456; GO:0002710; GO:0005537; GO:0006955; GO:0009897; GO:0030246; GO:0030247; GO:0033080; GO:0033088; GO:0046633; GO:0046642; GO:0070061; GO:0097367; GO:0120274; GO:1903902",NA
"367","A0A2I2UE55","A0A2I2UE55","CLEC7A","C-type lectin domain containing 7A","Predicted","1","membrane [GO:0016020]; (1->3)-beta-D-glucan binding [GO:0001872]; cellular response to molecule of fungal origin [GO:0071226]","GO:0001872; GO:0016020; GO:0071226",NA
"368","A0A337SW69","A0A337SW69","CLEC7A","C-type lectin domain containing 7A","Predicted","1","membrane [GO:0016020]; (1->3)-beta-D-glucan binding [GO:0001872]; cellular response to molecule of fungal origin [GO:0071226]","GO:0001872; GO:0016020; GO:0071226",NA
"369","M3WNY6","M3WNY6","CLIC1","Chloride intracellular channel protein","Inferred from homology","3","chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; chloride channel activity [GO:0005254]; chloride transport [GO:0006821]; positive regulation of osteoblast differentiation [GO:0045669]; regulation of mitochondrial membrane potential [GO:0051881]","GO:0005254; GO:0005737; GO:0005739; GO:0005783; GO:0005886; GO:0006821; GO:0016020; GO:0031965; GO:0034707; GO:0045669; GO:0048471; GO:0051881; GO:0070062",NA
"370","A0A337SD38","A0A337SD38","CLIC4","Chloride intracellular channel protein","Inferred from homology","4","apical part of cell [GO:0045177]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; centrosome [GO:0005813]; chloride channel complex [GO:0034707]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; microvillus [GO:0005902]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; chloride channel activity [GO:0005254]; angiogenesis [GO:0001525]; branching morphogenesis of an epithelial tube [GO:0048754]; cellular response to calcium ion [GO:0071277]; endothelial cell morphogenesis [GO:0001886]; fertilization [GO:0009566]; keratinocyte differentiation [GO:0030216]; multicellular organism growth [GO:0035264]; negative regulation of cell migration [GO:0030336]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; vacuolar acidification [GO:0007035]","GO:0001525; GO:0001886; GO:0005254; GO:0005739; GO:0005813; GO:0005829; GO:0005886; GO:0005902; GO:0005911; GO:0007035; GO:0009566; GO:0009986; GO:0016363; GO:0030216; GO:0030336; GO:0030496; GO:0030659; GO:0034707; GO:0035264; GO:0045177; GO:0048471; GO:0048754; GO:0061299; GO:0071277",NA
"371","A0A2I2UVX8","A0A2I2UVX8","CLIC5","Chloride intracellular channel protein","Inferred from homology","2","chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; chloride channel activity [GO:0005254]","GO:0005254; GO:0005737; GO:0034707",NA
"372","M3VW19","M3VW19","CLMP","CXADR like membrane protein","Predicted","2","bicellular tight junction [GO:0005923]; cytoplasmic microtubule [GO:0005881]; membrane [GO:0016020]; digestive tract development [GO:0048565]","GO:0005881; GO:0005923; GO:0016020; GO:0048565",NA
"373","A0A2I2U499","A0A2I2U499","CLN3","Battenin","Inferred from homology","2","lysosomal membrane [GO:0005765]","GO:0005765",NA
"374","A0A2I2UWU9","A0A2I2UWU9","CLN5","Bis(monoacylglycero)phosphate synthase CLN5 (EC 3.1.2.22) (Ceroid-lipofuscinosis neuronal protein 5) (Palmitoyl protein thioesterase CLN5) (S-depalmitoylase CLN5)","Inferred from homology","5","cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; lysosomal membrane [GO:0005765]; perinuclear region of cytoplasm [GO:0048471]; vacuolar lumen [GO:0005775]; bis(monoacylglycero)phosphate synthase activity [GO:0160121]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; long-chain fatty acyl-CoA hydrolase activity [GO:0052816]; mannose binding [GO:0005537]; brain development [GO:0007420]; glycosylation [GO:0070085]; lysosomal lumen acidification [GO:0007042]; lysosome organization [GO:0007040]; neurogenesis [GO:0022008]; retrograde transport, endosome to Golgi [GO:0042147]; signal peptide processing [GO:0006465]; visual perception [GO:0007601]","GO:0005537; GO:0005765; GO:0005775; GO:0005783; GO:0005794; GO:0005829; GO:0006465; GO:0007040; GO:0007042; GO:0007420; GO:0007601; GO:0016798; GO:0022008; GO:0042147; GO:0048471; GO:0052816; GO:0070085; GO:0160121",NA
"375","M3W2V0","M3W2V0","CLPTM1 APOE","Apolipoprotein E","Inferred from homology","3","chylomicron [GO:0042627]; high-density lipoprotein particle [GO:0034364]; multivesicular body [GO:0005771]; very-low-density lipoprotein particle [GO:0034361]; heparin binding [GO:0008201]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]","GO:0005771; GO:0006869; GO:0008201; GO:0008289; GO:0034361; GO:0034364; GO:0042157; GO:0042627",NA
"376","A0A337S9Y3","A0A337S9Y3","CLPTM1 APOE","Apolipoprotein E","Inferred from homology","3","chylomicron [GO:0042627]; high-density lipoprotein particle [GO:0034364]; multivesicular body [GO:0005771]; very-low-density lipoprotein particle [GO:0034361]; heparin binding [GO:0008201]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]","GO:0005771; GO:0006869; GO:0008201; GO:0008289; GO:0034361; GO:0034364; GO:0042157; GO:0042627",NA
"377","M3VU87","M3VU87","CLSTN3","Calsyntenin-3","Inferred from homology","4","cell surface [GO:0009986]; endoplasmic reticulum membrane [GO:0005789]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]; protein-containing complex [GO:0032991]; calcium ion binding [GO:0005509]; cell-cell adhesion mediator activity [GO:0098632]; neurexin family protein binding [GO:0042043]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; positive regulation of protein localization to synapse [GO:1902474]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synaptic transmission [GO:0050806]; regulation of cell growth [GO:0001558]; regulation of presynapse assembly [GO:1905606]; synapse assembly [GO:0007416]; synaptic transmission, GABAergic [GO:0051932]; synaptic transmission, glutamatergic [GO:0035249]","GO:0000139; GO:0001558; GO:0005509; GO:0005789; GO:0007156; GO:0007416; GO:0009986; GO:0032991; GO:0035249; GO:0042043; GO:0045211; GO:0050806; GO:0051932; GO:0051965; GO:0098632; GO:0098839; GO:0098978; GO:0098982; GO:1902474; GO:1905606",NA
"378","M3WKP2","M3WKP2","CLU","Clusterin","Inferred from homology","5","apical dendrite [GO:0097440]; cell periphery [GO:0071944]; cell surface [GO:0009986]; chromaffin granule [GO:0042583]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrial inner membrane [GO:0005743]; neurofibrillary tangle [GO:0097418]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum lumen [GO:0099020]; spherical high-density lipoprotein particle [GO:0034366]; synapse [GO:0045202]; amyloid-beta binding [GO:0001540]; low-density lipoprotein particle receptor binding [GO:0050750]; misfolded protein binding [GO:0051787]; protein carrier chaperone [GO:0140597]; protein-containing complex binding [GO:0044877]; tau protein binding [GO:0048156]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; cell morphogenesis [GO:0000902]; central nervous system myelin maintenance [GO:0032286]; chaperone-mediated protein complex assembly [GO:0051131]; chaperone-mediated protein folding [GO:0061077]; immune complex clearance [GO:0002434]; microglial cell activation [GO:0001774]; microglial cell proliferation [GO:0061518]; negative regulation of amyloid fibril formation [GO:1905907]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of response to endoplasmic reticulum stress [GO:1903573]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of apoptotic process [GO:0043065]; positive regulation of neurofibrillary tangle assembly [GO:1902998]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of tumor necrosis factor production [GO:0032760]; protein import [GO:0017038]; protein stabilization [GO:0050821]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of amyloid-beta clearance [GO:1900221]; regulation of apoptotic process [GO:0042981]; regulation of cell population proliferation [GO:0042127]; regulation of neuronal signal transduction [GO:1902847]; response to misfolded protein [GO:0051788]; response to virus [GO:0009615]","GO:0000902; GO:0001540; GO:0001774; GO:0002434; GO:0005615; GO:0005634; GO:0005743; GO:0005829; GO:0005856; GO:0009615; GO:0009986; GO:0017038; GO:0031333; GO:0031334; GO:0031625; GO:0032286; GO:0032436; GO:0032760; GO:0034366; GO:0042127; GO:0042583; GO:0042981; GO:0043065; GO:0044877; GO:0045202; GO:0045429; GO:0048156; GO:0048260; GO:0050750; GO:0050821; GO:0051082; GO:0051131; GO:0051787; GO:0051788; GO:0061077; GO:0061518; GO:0061740; GO:0071944; GO:0097418; GO:0097440; GO:0099020; GO:0140597; GO:1900221; GO:1902004; GO:1902230; GO:1902430; GO:1902847; GO:1902998; GO:1903573; GO:1905907",NA
"379","A0A5F5XGP3","A0A5F5XGP3","CLU","Clusterin","Inferred from homology","3","chromaffin granule [GO:0042583]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]","GO:0005576; GO:0005634; GO:0005783; GO:0005829; GO:0031966; GO:0042583; GO:0048471",NA
"380","A0A5F5XKE9","A0A5F5XKE9","CMPK2","Cytidine/uridine monophosphate kinase 2","Inferred from homology","1",NA,NA,NA
"381","A0A337SUS1","A0A337SUS1","CNDP2","Carnosine dipeptidase 2","Predicted","1","carboxypeptidase activity [GO:0004180]","GO:0004180",NA
"382","M3W9A2","M3W9A2","CNDP2","Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Threonyl dipeptidase)","Inferred from homology","4","cytosol [GO:0005829]; nucleoplasm [GO:0005654]; carboxypeptidase activity [GO:0004180]; dipeptidase activity [GO:0016805]; metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]; proteolysis [GO:0006508]","GO:0004180; GO:0005654; GO:0005829; GO:0006508; GO:0016805; GO:0046872; GO:0070573",NA
"383","A0A337SGM0","A0A337SGM0","CNNM4 CNNM3","Metal transporter","Inferred from homology","2","plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; magnesium ion homeostasis [GO:0010960]","GO:0005886; GO:0010960; GO:0022857",NA
"384","M3WWG3","M3WWG3","CNP","2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)","Inferred from homology","3","cytoplasm [GO:0005737]; extracellular space [GO:0005615]; melanosome [GO:0042470]; membrane [GO:0016020]; myelin sheath [GO:0043209]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; RNA binding [GO:0003723]; adult locomotory behavior [GO:0008344]; axonogenesis [GO:0007409]; cyclic nucleotide catabolic process [GO:0009214]; oligodendrocyte differentiation [GO:0048709]; response to toxic substance [GO:0009636]","GO:0003723; GO:0004113; GO:0005615; GO:0005737; GO:0007409; GO:0008344; GO:0009214; GO:0009636; GO:0016020; GO:0042470; GO:0043209; GO:0048709",NA
"385","A0A337RVG5","A0A337RVG5","CNTFR","Ciliary neurotrophic factor receptor subunit alpha","Inferred from homology","3","apical plasma membrane [GO:0016324]; ciliary neurotrophic factor receptor complex [GO:0070110]; CNTFR-CLCF1 complex [GO:0097059]; external side of plasma membrane [GO:0009897]; ciliary neurotrophic factor receptor activity [GO:0004897]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; signaling receptor binding [GO:0005102]; brainstem development [GO:0003360]; ciliary neurotrophic factor-mediated signaling pathway [GO:0070120]; motor neuron apoptotic process [GO:0097049]; negative regulation of motor neuron apoptotic process [GO:2000672]; positive regulation of cell population proliferation [GO:0008284]; sex differentiation [GO:0007548]; skeletal muscle organ development [GO:0060538]; suckling behavior [GO:0001967]","GO:0001967; GO:0003360; GO:0004896; GO:0004897; GO:0005102; GO:0007548; GO:0008284; GO:0009897; GO:0016324; GO:0019955; GO:0060538; GO:0070110; GO:0070120; GO:0097049; GO:0097059; GO:2000672",NA
"386","A0A2I2U968","A0A2I2U968","CNTN1","Contactin-1","Inferred from homology","1","cell adhesion [GO:0007155]","GO:0007155",NA
"387","A0A2I2UN28","A0A2I2UN28","COCH","Cochlin","Predicted","2",NA,NA,NA
"388","M3WFG2","M3WFG2","COCH","Cochlin","Predicted","2","collagen-containing extracellular matrix [GO:0062023]; collagen binding [GO:0005518]; regulation of cell shape [GO:0008360]; sensory perception of sound [GO:0007605]","GO:0005518; GO:0007605; GO:0008360; GO:0062023",NA
"389","A0A337S496","A0A337S496","COL11A1","Collagen type XI alpha 1 chain","Predicted","1","extracellular matrix structural constituent [GO:0005201]","GO:0005201",NA
"390","A0A2I2U432","A0A2I2U432","COL12A1","Collagen type XII alpha 1 chain","Predicted","1","collagen trimer [GO:0005581]; extracellular region [GO:0005576]","GO:0005576; GO:0005581",NA
"391","A0A337RZD5","A0A337RZD5","COL14A1","Collagen type XIV alpha 1 chain","Predicted","1","collagen trimer [GO:0005581]; extracellular region [GO:0005576]","GO:0005576; GO:0005581",NA
"392","A0A337RV83","A0A337RV83","COL15A1","Collagen type XV alpha 1 chain","Predicted","1","collagen trimer [GO:0005581]","GO:0005581",NA
"393","A0A5F5XC75","A0A5F5XC75","COL18A1","Collagen type XVIII alpha 1 chain","Predicted","2","collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; angiogenesis [GO:0001525]; collagen fibril organization [GO:0030199]; endothelial cell morphogenesis [GO:0001886]; notochord development [GO:0030903]; skeletal system development [GO:0001501]","GO:0001501; GO:0001525; GO:0001886; GO:0005581; GO:0005615; GO:0030020; GO:0030199; GO:0030903; GO:0062023",NA
"394","M3W2F5","M3W2F5","COL1A1","Collagen type I alpha 1 chain","Predicted","5","collagen type I trimer [GO:0005584]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; platelet-derived growth factor binding [GO:0048407]; protease binding [GO:0002020]; blood vessel development [GO:0001568]; bone trabecula formation [GO:0060346]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; cellular response to amino acid stimulus [GO:0071230]; cellular response to mechanical stimulus [GO:0071260]; collagen biosynthetic process [GO:0032964]; collagen fibril organization [GO:0030199]; embryonic skeletal system development [GO:0048706]; endochondral ossification [GO:0001958]; extracellular matrix organization [GO:0030198]; face morphogenesis [GO:0060325]; intramembranous ossification [GO:0001957]; negative regulation of cell-substrate adhesion [GO:0010812]; ossification [GO:0001503]; osteoblast differentiation [GO:0001649]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell migration [GO:0030335]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; protein localization to nucleus [GO:0034504]; protein transport [GO:0015031]; response to mechanical stimulus [GO:0009612]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; skin development [GO:0043588]; skin morphogenesis [GO:0043589]; tooth mineralization [GO:0034505]; visual perception [GO:0007601]","GO:0001501; GO:0001503; GO:0001568; GO:0001649; GO:0001957; GO:0001958; GO:0002020; GO:0005584; GO:0005615; GO:0005737; GO:0007601; GO:0007605; GO:0009612; GO:0010718; GO:0010812; GO:0015031; GO:0030020; GO:0030198; GO:0030199; GO:0030335; GO:0032964; GO:0034504; GO:0034505; GO:0042802; GO:0043588; GO:0043589; GO:0045893; GO:0046872; GO:0048407; GO:0048706; GO:0060325; GO:0060346; GO:0060351; GO:0062023; GO:0071230; GO:0071260; GO:0090263",NA
"395","A0A5F5XYM1","A0A5F5XYM1","COL1A2","Collagen type I alpha 2 chain","Predicted","1","extracellular matrix structural constituent [GO:0005201]","GO:0005201",NA
"396","M3WVN3","M3WVN3","COL1A2","Collagen type I alpha 2 chain","Predicted","4","collagen type I trimer [GO:0005584]; collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; identical protein binding [GO:0042802]; platelet-derived growth factor binding [GO:0048407]; protease binding [GO:0002020]; protein-macromolecule adaptor activity [GO:0030674]; SMAD binding [GO:0046332]; blood vessel development [GO:0001568]; bone mineralization [GO:0030282]; cellular response to amino acid stimulus [GO:0071230]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; extracellular matrix assembly [GO:0085029]; extracellular matrix organization [GO:0030198]; protein heterotrimerization [GO:0070208]; regulation of blood pressure [GO:0008217]; Rho protein signal transduction [GO:0007266]; skeletal system development [GO:0001501]; skin morphogenesis [GO:0043589]; transforming growth factor beta receptor signaling pathway [GO:0007179]","GO:0001501; GO:0001568; GO:0002020; GO:0005584; GO:0005615; GO:0007179; GO:0007266; GO:0008217; GO:0030020; GO:0030198; GO:0030199; GO:0030282; GO:0030674; GO:0032963; GO:0042802; GO:0043589; GO:0046332; GO:0048407; GO:0062023; GO:0070208; GO:0071230; GO:0085029",NA
"397","M3WPE0","M3WPE0","COL28A1","Collagen type XXVIII alpha 1 chain","Predicted","2","basement membrane [GO:0005604]; collagen type V trimer [GO:0005588]; collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; heparin binding [GO:0008201]; serine-type endopeptidase inhibitor activity [GO:0004867]; cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]","GO:0004867; GO:0005588; GO:0005604; GO:0005615; GO:0007155; GO:0008201; GO:0030020; GO:0030199; GO:0062023",NA
"398","A0A5F5Y1B8","A0A5F5Y1B8","COL3A1","Collagen type III alpha 1 chain","Predicted","2","extracellular matrix structural constituent [GO:0005201]; metal ion binding [GO:0046872]","GO:0005201; GO:0046872",NA
"399","A0A5F5Y4J4","A0A5F5Y4J4","COL4A1","Collagen type IV alpha 1 chain","Predicted","2","basement membrane [GO:0005604]; collagen trimer [GO:0005581]; membrane [GO:0016020]; extracellular matrix structural constituent [GO:0005201]","GO:0005201; GO:0005581; GO:0005604; GO:0016020",NA
"400","A0A5F5XGS9","A0A5F5XGS9","COL4A2","Collagen type IV alpha 2 chain","Predicted","2","basement membrane [GO:0005604]; collagen type IV trimer [GO:0005587]; extracellular space [GO:0005615]; membrane [GO:0016020]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; cellular response to transforming growth factor beta stimulus [GO:0071560]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; DNA-templated transcription [GO:0006351]; endodermal cell differentiation [GO:0035987]; extracellular matrix organization [GO:0030198]; negative regulation of angiogenesis [GO:0016525]","GO:0005587; GO:0005604; GO:0005615; GO:0006351; GO:0016020; GO:0016525; GO:0030020; GO:0030198; GO:0035987; GO:0038063; GO:0071560",NA
